area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Bandra,2 BHK,Mileeou,1385,2,1,26666.66667
Super built-up  Area,18-Apr,Bandra,2 BHK,Prarkun,1128,2,1,15675.67568
Plot  Area,Ready To Move,Worli,2 Bedroom,,1200,2,2,11956.52174
Plot  Area,Ready To Move,Powai,4 Bedroom,,1200,4,3,30588.23529
Super built-up  Area,Ready To Move,Chembur,3 BHK,PhestOn,2390,3,2,22222.22222
Plot  Area,Ready To Move,Kurla,4 Bedroom,,2400,4,1,24583.33333
Super built-up  Area,Ready To Move,Mulund,3 BHK,NRowse ,1464,3,2,20346.32035
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1200,2,2,31779.66102
Super built-up  Area,Ready To Move,Powai,2 BHK,Abncy R,1200,2,2,23780.4878
Super built-up  Area,Ready To Move,Andheri,3 BHK,Baowsig,1150,2,1,17977.52809
Built-up  Area,Ready To Move,Worli,3 BHK,Itala A,1645,3,2,22000
Super built-up  Area,20-Mar,Mulund,2 BHK,,1000,2,1,29430.37975
Plot  Area,Ready To Move,Vile Parle,4 Bedroom,,2650,4,2,33928.57143
Super built-up  Area,Ready To Move,Borivali,2 BHK,HMinebo,1192,2,2,15000
Super built-up  Area,Ready To Move,Colaba,3 BHK,K borja,2135,3,2,25139.6648
Super built-up  Area,19-Dec,Powai,2 BHK,Oreldhi,1173,2,1,35675.67568
Built-up  Area,Ready To Move,Malad,2 BHK,Sungspr,1020,2,2,33962.26415
Super built-up  Area,Ready To Move,Mulund,4 BHK,Prtanha,3122,6,2,20000
Super built-up  Area,Ready To Move,Powai,3 BHK,,1600,3,3,38181.81818
Plot  Area,18-Mar,Juhu,2 Bedroom,,1200,2,0,24525.54745
Carpet  Area,Ready To Move,Chembur,2 BHK,,1230,2,3,17333.33333
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Clntsrt,1250,2,2,31342.18289
Super built-up  Area,Ready To Move,Juhu,2 BHK,PuamaPa,1325,2,2,25462.96296
Built-up  Area,Ready To Move,Chembur,3 BHK,Brngsal,1850,3,1,38775.5102
Super built-up  Area,21-Dec,Chembur,1 BHK,PrarePa,525,,,36000
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1200,2,2,9000
Plot  Area,Ready To Move,Bandra,3 Bedroom,,1350,2,0,36000
Super built-up  Area,18-Jun,Powai,3 BHK,SSestth,1260,3,1,39090.90909
Super built-up  Area,Ready To Move,Kurla,3 BHK,Vancy R,1800,3,0,21428.57143
Plot  Area,18-Dec,Goregaon,3 Bedroom,PrhyaK ,11,3,2,45000
Built-up  Area,Ready To Move,Bandra,2 BHK,Miwel M,1100,2,1,25520.83333
Super built-up  Area,Ready To Move,Goregaon,2 BHK,SrEndPo,1508,2,1,34615.38462
Carpet  Area,Ready To Move,Colaba,3 BHK,Puens G,1592,3,2,39024.39024
Super built-up  Area,Ready To Move,Dadar,2 BHK,SagasSa,1388,2,3,34375
Super built-up  Area,18-May,Juhu,1 BHK,SNbay G,630,1,1,21513.78838
Plot  Area,Ready To Move,Colaba,3 Bedroom,,2000,3,2,22891.56627
Super built-up  Area,Ready To Move,Worli,3 BHK,,1762,3,1,15000
Super built-up  Area,21-Dec,Goregaon,2 BHK,,950,2,2,21333.33333
Super built-up  Area,Ready To Move,Borivali,4 BHK,Soianal,3252,5,3,20711.50097
Super built-up  Area,18-Aug,Malad,2 BHK,Vrenty ,1116,2,1,5645.16129
Super built-up  Area,Ready To Move,Colaba,2 BHK,AriosHe,1308,2,2,31347.96238
Super built-up  Area,Ready To Move,Andheri,3 BHK,,1200,3,0,20000
Plot  Area,Ready To Move,Powai,4 Bedroom,,1500,4,2,25981.30841
Built-up  Area,Ready To Move,Kurla,1 BHK,,500,1,1,17777.77778
Super built-up  Area,Ready To Move,Juhu,2 BHK,SLureSi,1075,2,1,18000
Super built-up  Area,18-Mar,Malad,1 BHK,Siissi ,530,1,0,20504.73186
Built-up  Area,Ready To Move,Colaba,2 BHK,,1205,2,3,33333.33333
Super built-up  Area,Ready To Move,Bandra,2 BHK,Mangsr ,1075,2,2,26557.71195
Built-up  Area,Ready To Move,Chembur,2 BHK,HovasTe,930,2,2,19459.45946
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Exncene,1380,2,1,31884.05797
Super built-up  Area,Ready To Move,Chembur,4 BHK,Prersis,2483,5,2,14285.71429
Built-up  Area,Ready To Move,Santacruz,2 BHK,Shyas S,1166,2,2,21111.11111
Super built-up  Area,Ready To Move,Santacruz,2 BHK,NadelCi,1050,2,1,20744.68085
Super built-up  Area,19-Mar,Goregaon,3 BHK,Sothadr,2023.71,3,2,39130.43478
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Dhalsh ,1200,2,2,36507.93651
Super built-up  Area,Ready To Move,Santacruz,3 BHK,Puarent,1600,2,1,18222.22222
Super built-up  Area,Ready To Move,Chembur,3 BHK,MaionPa,1935,3,2,19814.41048
Super built-up  Area,18-May,Goregaon,1 BHK,Maian M,451,1,0,4693.877551
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,ShstaAl,1800,3,2,45710.26723
Super built-up  Area,18-May,Juhu,3 BHK,Shard T,1400,3,0,23888.88889
Super built-up  Area,Ready To Move,Khar,3 BHK,SoitaCa,1801,3,2,21176.47059
Built-up  Area,Ready To Move,Worli,2 BHK,Neagar ,1451,2,,36111.11111
Plot  Area,19-Jan,Malad,2 Bedroom,,1200,1,1,40628.3857
Super built-up  Area,Ready To Move,Worli,2 BHK,Dhalsh ,1160,2,2,7794.117647
Built-up  Area,Ready To Move,Borivali,2 BHK,,1000,2,1,47428.57143
Super built-up  Area,Ready To Move,Goregaon,2 BHK,Wiowsri,950,2,1,18080
Built-up  Area,20-Dec,Dadar,3 BHK,,1629,3,2,20000
Built-up  Area,Ready To Move,Santacruz,3 BHK,,1580,2,0,16923.07692
Super built-up  Area,21-Jun,Powai,3 BHK,Saityat,1826,3,2,40000
Built-up  Area,Ready To Move,Colaba,2 BHK,Eladero,1245,2,1,14937.5
Super built-up  Area,Ready To Move,Powai,2 BHK,Lancyey,1145,2,2,34285.71429
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Suiseit,825,2,1,24705.88235
Super built-up  Area,18-Aug,Dadar,3 BHK,Aroomba,1693,3,3,29618.76833
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Courf T,1113.27,2,2,30000
Built-up  Area,Ready To Move,Santacruz,2 BHK,VMowsea,1460,2,1,29809.22099
Built-up  Area,Ready To Move,Chembur,2 BHK,S onsMa,1050,2,1,30769.23077
Built-up  Area,Ready To Move,Bandra,2 BHK,Tuentpa,1260,2,2,35842.29391
Super built-up  Area,Ready To Move,Goregaon,6 BHK,,700,3,,11212.12121
Built-up  Area,Ready To Move,Andheri,2 BHK,Tovesee,1656,2,1,13368.98396
Super built-up  Area,Ready To Move,Powai,3 BHK,Vailsaf,1208,3,1,21333.33333
Super built-up  Area,Ready To Move,Borivali,3 BHK,BrlisCo,1910,3,2,27561.6083
Super built-up  Area,Ready To Move,Juhu,4 BHK,Haestt ,3252,4,1,15306.12245
Plot  Area,Ready To Move,Powai,2 Bedroom,,1200,2,1,14468.08511
Super built-up  Area,Ready To Move,Worli,4 BHK,,1200,4,1,33870.96774
Super built-up  Area,Ready To Move,Dadar,2 BHK,BriumMi,1175,2,1,33000
Plot  Area,Ready To Move,Bandra,2 Bedroom,,1000,2,0,32769.23077
Plot  Area,Ready To Move,Andheri,4 Bedroom,,1200,2,0,11567.16418
Super built-up  Area,Ready To Move,Andheri,3 BHK,PhestOn,2390,3,2,18930.04115
Super built-up  Area,19-Jan,Dadar,7 BHK,,12000,6,3,6250
Plot  Area,Ready To Move,Santacruz,2 Bedroom,,550,1,1,24691.35802
Super built-up  Area,Ready To Move,Dadar,1 BHK,,34.46Sq. Meter,1,0,23888.88889
Super built-up  Area,Ready To Move,Lower Parel,2 BHK,Hoxiaa ,1185,2,,18064.51613
Super built-up  Area,Ready To Move,Malad,2 BHK,VBvenal,750,2,1,33333.33333
Plot  Area,Ready To Move,Ghatkopar,6 Bedroom,,1200,7,3,14444.44444
Super built-up  Area,Ready To Move,Chembur,3 BHK,JRrnauv,1550,3,3,22500
Built-up  Area,Ready To Move,Worli,3 BHK,Hoeatan,1760,3,2,26315.78947
Super built-up  Area,Ready To Move,Chembur,2 BHK,Asity S,1125,2,2,14530.77699
Plot  Area,Ready To Move,Andheri,3 Bedroom,,1350,3,2,35176.47059
Plot  Area,17-Dec,Mulund,2 Bedroom,,1000,2,1,25482.62548
Built-up  Area,18-Aug,Malad,2 BHK,,1090,2,2,42187.5
Plot  Area,Ready To Move,Ghatkopar,2 Bedroom,,1200,2,0,25059.66587
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,PrityTr,1991,4,2,32727.27273
Super built-up  Area,18-Oct,Ghatkopar,2 BHK,DSoodil,1060,2,1,7407.407407
Super built-up  Area,Ready To Move,Andheri,2 BHK,SJarkte,1105,2,1,16111.11111
Built-up  Area,Ready To Move,Chembur,2 BHK,Dhgraas,985,2,2,7916.666667
Plot  Area,Ready To Move,Chembur,6 Bedroom,,1533,5,3,25169.49153
Super built-up  Area,17-Jul,Colaba,3 BHK,HiqueMa,1590,3,2,37500
Super built-up  Area,Ready To Move,Chembur,2 BHK,Srshq T,1120,2,2,20000
Super built-up  Area,Ready To Move,Borivali,2 BHK,SPontna,1069,2,1,13684.21053
Super built-up  Area,Ready To Move,Colaba,3 BHK,Prionad,1933,3,2,20000
Built-up  Area,16-Mar,Worli,2 BHK,PuendWe,1194,2,0,19517.54386
Super built-up  Area,Ready To Move,Andheri,2 BHK,Danna S,1150,2,3,20357.14286
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1240,2,2,11250
Super built-up  Area,Ready To Move,Santacruz,2 BHK,GrrvaGr,1419,2,2,6666.666667
Plot  Area,Ready To Move,Mulund,8 Bedroom,,1200,8,,38176.03393
Super built-up  Area,Ready To Move,Bandra,3 BHK,Bltonin,2150,4,,19111.11111
Super built-up  Area,Ready To Move,Borivali,3 BHK,MSanaer,1450,3,2,38359.78836
Super built-up  Area,18-Jul,Khar,3 BHK,Plowsri,1630,3,2,33571.42857
Super built-up  Area,Ready To Move,Kurla,2 BHK,Tavenew,708,1,1,16450.21645
Plot  Area,Ready To Move,Kurla,3 Bedroom,,1000,4,3,18148.14815
Plot  Area,Ready To Move,Goregaon,4 Bedroom,,11890,4,3,26000
Super built-up  Area,Ready To Move,Powai,2 BHK,Ocavees,1250,2,1,17567.56757
Super built-up  Area,Ready To Move,Colaba,3 BHK,Brnia G,1400,2,1,33170.73171
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,,1670,2,3,16666.66667
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,SoystAm,1750,3,2,26363.63636
Super built-up  Area,Ready To Move,Dadar,2 BHK,Prlla C,1404,2,1,16341.0302
Super built-up  Area,Ready To Move,Colaba,3 BHK,SMaxyay,1715,2,2,21527.77778
Built-up  Area,18-Apr,Mulund,1 BHK,Prarkun,630,1,1,22857.14286
Super built-up  Area,Ready To Move,Goregaon,3 BHK,SosicCl,1752.12,3,2,25625
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1650,3,2,20111.11111
Super built-up  Area,Ready To Move,Khar,2 BHK,GrrvaGr,1295,2,1,50287.35632
Plot  Area,Ready To Move,Malad,3 Bedroom,Bancyri,1800,3,2,19565.21739
Super built-up  Area,18-Sep,Dadar,2 BHK,PualeSk,1346,2,1,29166.66667
Plot  Area,Ready To Move,Ghatkopar,4 Bedroom,,1200,4,2,27843.6019
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,ElavuHo,1150,2,2,16666.66667
Built-up  Area,Ready To Move,Juhu,4 Bedroom,Gontyol,3309,4,3,12124.15131
Super built-up  Area,18-May,Colaba,3 BHK,SunceEs,1190,2,2,36136.36364
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,DSutyng,1620,3,2,21600
Super built-up  Area,18-Apr,Borivali,2 BHK,,950,2,1,43103.44828
Super built-up  Area,Ready To Move,Kurla,11 BHK,Bancyri,5000,9,3,12000
Super built-up  Area,Ready To Move,Chembur,3 BHK,SrEndPo,2450,3,0,33333.33333
Super built-up  Area,18-May,Mulund,3 BHK,Sryalan,1220,2,1,29013.53965
Super built-up  Area,Ready To Move,Worli,2 BHK,RKntsrt,850,2,1,16363.63636
Built-up  Area,Ready To Move,Andheri,2 BHK,,1020,2,2,40000
Built-up  Area,Ready To Move,Santacruz,2 BHK,,1100,2,2,19764.70588
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Vantspa,1150,2,2,21596.24413
Super built-up  Area,18-Dec,Dadar,3 BHK,Mahosya,1760,2,2,100000
Super built-up  Area,Ready To Move,Chembur,3 BHK,,1800,3,3,14367.81609
Super built-up  Area,Ready To Move,Chembur,2 BHK,,1070,2,1,33980.58252
Plot  Area,Ready To Move,Chembur,4 Bedroom,,1500,4,2,10573.77049
Plot  Area,Ready To Move,Borivali,2 Bedroom,,1440,2,0,15066.66667
Super built-up  Area,Ready To Move,Juhu,2 BHK,Prowsi ,900,2,1,15760.86957
Built-up  Area,Ready To Move,Lower Parel,4 BHK,,1200,4,1,15714.28571
Super built-up  Area,18-May,Chembur,2 BHK,SMuilan,1130,2,1,20344.82759
Super built-up  Area,Ready To Move,Kurla,2 BHK,Proodt ,1320,2,1,18125
Super built-up  Area,19-Jun,Ghatkopar,2 BHK,,1270,2,1,24670.32967
Built-up  Area,Ready To Move,Colaba,2 BHK,Sryamar,1200,2,1,26470.58824
Super built-up  Area,Ready To Move,Dadar,4 BHK,,4800,4,,21739.13043
Super built-up  Area,Ready To Move,Goregaon,2 BHK,,1200,2,1,20606.06061
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,Prldsri,929,2,0,33333.33333
Built-up  Area,Ready To Move,Kurla,4 BHK,LiaveEn,1150,4,2,18691.58879
Plot  Area,Ready To Move,Bandra,4 Bedroom,,1125,4,3,25984.25197
Plot  Area,Ready To Move,Chembur,5 Bedroom,,500,3,2,19000
Plot  Area,Ready To Move,Goregaon,5 Bedroom,Bemesrm,1200,5,2,20000
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1464,3,2,86666.66667
Super built-up  Area,Ready To Move,Bandra,4 BHK,,3600,4,3,14705.88235
Plot  Area,Ready To Move,Bandra,4 Bedroom,,2000,4,2,15757.57576
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1208,2,1,48571.42857
Super built-up  Area,Ready To Move,Chembur,2 BHK,Vrensn ,1130,2,2,16393.44262
Super built-up  Area,Ready To Move,Santacruz,3 BHK,VDdonel,1753,3,2,14444.44444
Super built-up  Area,Ready To Move,Andheri,5 BHK,Brica E,4500,7,3,17460.31746
Plot  Area,Ready To Move,Ghatkopar,3 Bedroom,,600,3,2,17272.72727
Super built-up  Area,22-Jun,Andheri,2 BHK,GoAirej,1196,2,2,7253.012048
Built-up  Area,Ready To Move,Santacruz,2 BHK,Prenty ,1150,3,3,12863.07054
Super built-up  Area,18-Apr,Mulund,2 BHK,Prarkun,1128,2,1,53125
Super built-up  Area,Ready To Move,Borivali,2 BHK,Shinei ,1000,2,1,28846.15385
Super built-up  Area,Ready To Move,Chembur,2 BHK,Apows M,1035,2,1,25000
Built-up  Area,Ready To Move,Bandra,2 BHK,,950,2,1,17857.14286
Super built-up  Area,Ready To Move,Dadar,3 BHK,Prityel,1075,2,1,14044.94382
Super built-up  Area,Ready To Move,Worli,2 BHK,SVineun,1040,2,1,28666.66667
Plot  Area,17-Oct,Worli,2 Bedroom,,720,2,1,19849.62406
Super built-up  Area,Ready To Move,Dadar,3 BHK,Soiewre,1511,3,1,19411.76471
Built-up  Area,Ready To Move,Malad,3 BHK,,1300,3,1,33333.33333
Super built-up  Area,19-Dec,Lower Parel,3 BHK,Caycend,1545,3,1,26475.03782
Built-up  Area,Ready To Move,Colaba,1 BHK,,375,2,0,40476.19048
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1062,2,3,18589.74359
Super built-up  Area,Ready To Move,Khar,2 BHK,,1115,2,1,30303.0303
Super built-up  Area,Ready To Move,Borivali,2 BHK,DSvvyx ,1000,2,1,5249.204666
Super built-up  Area,17-May,Lower Parel,2 BHK,Prrtht ,883,2,1,36190.47619
Super built-up  Area,19-Apr,Malad,2 BHK,Brareio,1195,2,1,18648.01865
Plot  Area,Ready To Move,Lower Parel,4 Bedroom,,1200,3,1,38333.33333
Built-up  Area,Ready To Move,Goregaon,1 Bedroom,,700,1,0,46500
Super built-up  Area,Ready To Move,Kurla,2 BHK,Prlla C,1246,2,1,33333.33333
Plot  Area,Ready To Move,Worli,4 Bedroom,,660,4,2,34823.52941
Plot  Area,Ready To Move,Mulund,4 Bedroom,,8500,4,2,33018.86792
Super built-up  Area,Ready To Move,Juhu,4 BHK,,1600,4,1,32075.4717
Super built-up  Area,18-Dec,Powai,4 BHK,SNnia E,2805,5,3,28260.86957
Super built-up  Area,Ready To Move,Kurla,3 BHK,,1584,3,,33846.15385
Plot  Area,Ready To Move,Bandra,4 Bedroom,,3000,5,1,23008.84956
Built-up  Area,Ready To Move,Andheri,3 BHK,,1175,2,2,22580.64516
Built-up  Area,19-Jul,Ghatkopar,3 BHK,,1595,3,2,18160
Super built-up  Area,Ready To Move,Goregaon,2 BHK,OlarkLa,1353,2,2,22769.23077
Super built-up  Area,18-Apr,Colaba,3 BHK,Prarkun,1599,3,2,13513.51351
Super built-up  Area,Ready To Move,Chembur,2 BHK,SuMTBPr,1150,2,1,18750
Super built-up  Area,17-Dec,Powai,4 BHK,Lecco C,5230,6,1,23443.22344
Super built-up  Area,Ready To Move,Malad,2 BHK,Jahidva,1155,2,2,33333.33333
Built-up  Area,Ready To Move,Bandra,1 BHK,,1200,2,0,16818.18182
Super built-up  Area,18-Jul,Worli,2 BHK,,1000,2,1,19230.76923
Super built-up  Area,Ready To Move,Colaba,4 BHK,,3000,4,,16203.7037
Built-up  Area,Ready To Move,Santacruz,3 BHK,PuoodSk,1867,3,1,15500
Super built-up  Area,18-Jun,Khar,2 BHK,ViistLa,1251,2,1,7792.207792
Super built-up  Area,18-Apr,Juhu,2 BHK,Arano M,1028,2,1,22826.08696
Super built-up  Area,Ready To Move,Chembur,2 BHK,Amngsag,1222,2,2,34171.50226
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,SNity S,1170,2,1,15377.53223
Super built-up  Area,Ready To Move,Kurla,3 BHK,Kacesh ,2400,4,1,18399.4959
Super built-up  Area,Ready To Move,Juhu,3 BHK,,1385,2,2,70588.23529
Super built-up  Area,Ready To Move,Bandra,2 BHK,SrisePo,1372,2,1,32812.5
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Bilya A,1282,2,2,23076.92308
Super built-up  Area,Ready To Move,Borivali,9 BHK,Amsomun,5000,9,3,50000
Built-up  Area,Ready To Move,Mulund,5 Bedroom,,3000,3,1,34722.22222
Super built-up  Area,Ready To Move,Kurla,2 BHK,Shdhia ,1135,2,1,32000
Built-up  Area,20-Dec,Borivali,3 BHK,,1768,3,2,20684.41065
Built-up  Area,Ready To Move,Vile Parle,3 BHK,Foconna,1325,2,1,16336.63366
Super built-up  Area,18-Apr,Powai,3 BHK,Prarkun,1599,3,2,43333.33333
Plot  Area,18-Mar,Khar,3 Bedroom,,1500,3,1,18518.51852
Plot  Area,Ready To Move,Malad,3 Bedroom,,2610,3,0,13750
Super built-up  Area,Ready To Move,Borivali,2 BHK,,1286,2,2,33123.02839
Built-up  Area,Ready To Move,Khar,5 BHK,,2845,5,1,22727.27273
Super built-up  Area,Ready To Move,Dadar,3 BHK,Aincy R,1600,2,,18857.14286
Super built-up  Area,18-Sep,Worli,2 BHK,Shxorm ,1195 - 1440,2,0,35312.5
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,Brium C,3450,5,2,19111.11111
Super built-up  Area,18-Apr,Bandra,2 BHK,Sadhii ,1102,2,2,18666.66667
Super built-up  Area,Ready To Move,Santacruz,2 BHK,Sahanra,1350,2,2,28809.21895
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1200,2,2,16064.25703
Plot  Area,Ready To Move,Chembur,6 Bedroom,,1300,6,0,18181.81818
Plot  Area,Ready To Move,Goregaon,2 Bedroom,,1800,1,1,30604.71976
Built-up  Area,Ready To Move,Borivali,2 BHK,,950,2,1,26000
Super built-up  Area,21-Dec,Bandra,1 BHK,PrarePa,525,1,1,20000
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,Jae 2hu,656,2,1,14000
Plot  Area,Ready To Move,Chembur,4 Bedroom,,1780,4,3,25710.75402
Super built-up  Area,Ready To Move,Dadar,2 BHK,Icncy R,1056,2,1,33923.85978
Super built-up  Area,21-Feb,Malad,1 BHK,Hiatei ,595,1,1,16400
Built-up  Area,Ready To Move,Chembur,2 BHK,,1080,2,2,19339.24255
Super built-up  Area,19-Dec,Juhu,3 BHK,Puarero,2225,3,1,17857.14286
Super built-up  Area,18-Aug,Goregaon,2 BHK,DSoodil,1126,2,1,26243.09392
Super built-up  Area,Ready To Move,Worli,3 BHK,GaicaVe,1490,3,1,16000
Plot  Area,Ready To Move,Chembur,4 Bedroom,,2000,4,1,88333.33333
Super built-up  Area,Ready To Move,Borivali,3 BHK,PuineSu,1550,3,3,14343.43434
Super built-up  Area,Ready To Move,Mulund,3 BHK,Grare S,1600,3,2,37931.03448
Built-up  Area,Ready To Move,Chembur,2 BHK,,1160,2,1,24193.54839
Built-up  Area,Ready To Move,Bandra,4 Bedroom,PrOakSi,4144,4,3,14901.96078
Super built-up  Area,Ready To Move,Khar,3 BHK,Supleon,2100,3,2,23750
Super built-up  Area,Ready To Move,Andheri,2 BHK,Prlla C,1404,2,1,19125.68306
Plot  Area,Ready To Move,Mulund,4 Bedroom,LGestbo,2230,4,3,36945.81281
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1544,3,,18494.89796
Super built-up  Area,18-May,Santacruz,3 BHK,Pridsi ,1305,2,1,31312.12724
Super built-up  Area,Ready To Move,Kurla,2 BHK,Aahts H,1230,2,2,23333.33333
Plot  Area,Ready To Move,Chembur,2 Bedroom,,1200,2,0,8886.255924
Super built-up  Area,Ready To Move,Dadar,3 BHK,,1460,3,1,12956.52174
Plot  Area,Immediate Possession,Andheri,,Asiss B,1200 - 2400,,,20000
Built-up  Area,Ready To Move,Goregaon,2 BHK,,967,2,3,15833.33333
Built-up  Area,Ready To Move,Khar,1 Bedroom,,540,1,1,24700.07057
Super built-up  Area,19-Dec,Lower Parel,1 BHK,Kolisl ,715,1,2,18125
Super built-up  Area,Ready To Move,Chembur,3 BHK,Toindls,2500,3,2,25806.45161
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,Puceswn,1578,3,1,32142.85714
Super built-up  Area,Ready To Move,Ghatkopar,2 BHK,,1020,2,1,41025.64103
Super built-up  Area,Ready To Move,Borivali,2 BHK,i1odsne,1020,2,1,25000
Super built-up  Area,Ready To Move,Kurla,2 BHK,Ansna K,1253,2,1,19811.32075
Super built-up  Area,Ready To Move,Kurla,2 BHK,ARnamru,1180,2,2,16666.66667
Super built-up  Area,Ready To Move,Colaba,2 BHK,Veyalin,961,2,2,20666.66667
Built-up  Area,Ready To Move,Khar,3 BHK,,1419,3,3,17000
Super built-up  Area,Ready To Move,Bandra,3 BHK,SomonCi,1709,3,2,8000
Plot  Area,Ready To Move,Dadar,2 Bedroom,,1600,2,0,14509.80392
Super built-up  Area,18-Jul,Lower Parel,1 BHK,,416,1,1,13333.33333
Carpet  Area,Ready To Move,Goregaon,2 BHK,,1100,2,2,15714.28571
Super built-up  Area,Ready To Move,Vile Parle,3 BHK,,1430,2,1,56250
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,Daill S,1260,2,2,21111.11111
Built-up  Area,Ready To Move,Juhu,3 BHK,DSureSi,1630,3,2,19148.93617
Super built-up  Area,19-May,Mulund,3 BHK,Soini T,1249,3,2,25531.91489
Super built-up  Area,Ready To Move,Mulund,3 BHK,MancyRe,1450,2,3,27472.52747
Super built-up  Area,17-Nov,Ghatkopar,3 BHK,Prasa W,2791,3,1,20000
Super built-up  Area,Ready To Move,Santacruz,1 BHK,,600,1,0,50000
Built-up  Area,Ready To Move,Malad,1 BHK,Kaantth,834,1,1,18750
Plot  Area,Ready To Move,Malad,3 Bedroom,,1125,4,1,33333.33333
Super built-up  Area,Ready To Move,Chembur,3 BHK,,2060,3,2,17272.72727
Super built-up  Area,19-Jan,Malad,7 BHK,,12000,7,3,13181.81818
Built-up  Area,Ready To Move,Santacruz,2 BHK,Drente ,891,2,1,25000
Super built-up  Area,Ready To Move,Malad,2 BHK,GrrvaGr,1133,2,1,25000
Built-up  Area,Ready To Move,Kurla,3 BHK,Prityel,1075,2,1,18000
Super built-up  Area,18-May,Worli,4 BHK,,3000,5,2,5257.142857
Plot  Area,Ready To Move,Malad,4 Bedroom,,2440,5,2,6454.545455
Built-up  Area,Ready To Move,Kurla,2 BHK,,1200,2,2,29444.44444
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,,1075,2,2,5202.312139
Super built-up  Area,Ready To Move,Worli,2 BHK,,1140,2,2,24489.79592
Plot  Area,Ready To Move,Juhu,5 Bedroom,,940,4,2,33149.17127
Plot  Area,Ready To Move,Juhu,6 Bedroom,,2160,5,1,26315.78947
Super built-up  Area,Ready To Move,Worli,2 BHK,SGandea,1090,2,1,34722.22222
Built-up  Area,Ready To Move,Kurla,4 Bedroom,,1500,4,1,5000
Super built-up  Area,Ready To Move,Worli,4 BHK,,4104,4,2,32535.88517
Super built-up  Area,Ready To Move,Santacruz,3 BHK,,1790,3,,22222.22222
Super built-up  Area,18-Dec,Lower Parel,3 BHK,Mahosya,1920,3,2,14084.50704
Built-up  Area,Ready To Move,Goregaon,2 BHK,Eline P,1374,2,2,11956.52174
Carpet  Area,Ready To Move,Goregaon,3 BHK,,1445,3,2,28750
Super built-up  Area,19-Dec,Santacruz,1 BHK,GoityEt,711,1,1,41025.64103
Super built-up  Area,Ready To Move,Goregaon,3 BHK,SosonGa,1500,3,3,25423.72881
Super built-up  Area,Ready To Move,Khar,3 BHK,Gotis A,1720,3,3,6071.428571
Super built-up  Area,Ready To Move,Mulund,3 BHK,,1400,3,2,17088.60759
Built-up  Area,Ready To Move,Chembur,2 BHK,,1030,2,2,9824.561404
Super built-up  Area,Ready To Move,Santacruz,2 BHK,PrntaEn,1200,2,1,17500
Carpet  Area,18-Jul,Khar,3 BHK,NSezeBr,1375,3,2,11608.39161
